,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
8027,8028,NGC2323,OCl,1.8442654223051933,-0.14597982345048685,Mon,14.1,,,6.27,5.9,,,,,,1.0012,-0.798,-0.654,12.0,3.9e-05,,,,050,,,,MWSC 1072,,,,False,3,105.668625,-8.364027777777778
8133,8134,NGC2422,OCl,1.9922220735404041,-0.25276924817480323,Pup,19.8,,,4.42,4.4,,,,,,2.069,-7.02,0.959,34.0,0.000114,,,,047,2478,,,MWSC 1278,,,,False,3,114.14591666666668,-14.482611111111112
8150,8151,NGC2437,OCl,2.014896809405897,-0.2584832622203602,Pup,21.0,,,6.33,6.1,,,,,,0.6005,-3.823,0.373,49.0,0.000164,,,,046,,,,MWSC 1313,,,,False,3,115.44508333333334,-14.81
8160,8161,NGC2447,OCl,2.026707597898247,-0.41631484091925075,Pup,15.0,,,6.57,6.2,,,,,,0.9603,-3.568,5.043,22.0,7.2e-05,,,,093,,,,MWSC 1324,,,,False,3,116.12179166666667,-23.853083333333334
8265,8266,NGC2548,OCl,2.154258441295558,-0.1003641890085717,Hya,28.2,,,6.11,5.8,,,,,,1.2897,-1.33,1.016,42.0,0.000138,,,,048,,,,MWSC 1454,,,,False,3,123.42991666666668,-5.750444444444445
8352,8353,NGC2632,OCl,2.2705424571507233,0.3433421400796867,Cnc,108.6,,,3.46,3.1,,,,,,5.371,-36.047,-12.917,35.0,0.000116,,,,044,,,,MWSC 1527,"Beehive,Praesepe Cluster",,,False,3,130.0925,19.672055555555556
8404,8405,NGC2682,OCl,2.318388476932583,0.206157321618208,Cnc,33.0,,,7.6,6.9,,,,,,1.1325,-10.974,-2.94,34.0,0.000113,,,,067,,,,MWSC 1585,,,,False,3,132.833875,11.811944444444444
8779,8780,NGC3031,G,2.5985894528119253,1.2054169808403759,UMa,21.63,11.25,157.0,7.79,6.92,4.76,4.09,3.83,22.78,Sab,,-0.005,-0.019,-42.0,-0.00014,,,,081,,,,"2MASX J09553318+6903549,IRAS 09514+6918,MCG +12-10-010,PGC 028630,SDSS J095533.16+690355.1,UGC 05318",Bode's Galaxy,,,False,8,148.88820833333332,69.06530555555555
8782,8783,NGC3034,G,2.600011896152301,1.2161347568886645,UMa,10.99,5.11,66.0,8.94,8.3,5.84,5.07,4.67,22.22,S?,,,,219.0,0.00073,,,,082,,,,"2MASX J09555243+6940469,IRAS 09517+6954,MCG +12-10-011,PGC 028655,SDSS J095551.73+694048.6,UGC 05322",Cigar Galaxy,,,False,8,148.96970833333333,69.6793888888889
9144,9145,NGC3351,G,2.809812834990888,0.20426994195764855,Leo,7.23,4.45,11.0,10.58,9.77,7.57,6.95,6.67,23.26,Sb,,,,766.0,0.00256,,,,095,,,,"2MASX J10435773+1142129,IRAS 10413+1158,MCG +02-28-001,PGC 032007,SDSS J104357.69+114213.6,SDSS J104357.70+114213.7,UGC 05850",,,,False,8,160.99041666666668,11.703805555555554
9161,9162,NGC3368,G,2.8220330486369347,0.2062969479583675,Leo,8.26,5.51,5.0,10.08,9.21,7.24,6.57,6.32,23.14,Sab,,,,902.0,0.003012,,,,096,,,,"2MASX J10464574+1149117,IRAS 10441+1205,MCG +02-28-006,PGC 032192,SDSS J104645.67+114911.8,UGC 05882",,,,False,8,161.69058333333334,11.819944444444443
9173,9174,NGC3379,G,2.8266763516677615,0.219590539094391,Leo,4.89,4.25,71.0,10.23,9.27,7.17,6.49,6.27,22.54,E,,,,875.0,0.002922,,,,105,,,,"2MASX J10474959+1234538,MCG +02-28-011,PGC 032256,UGC 05902",,,,False,8,161.956625,12.58161111111111
9366,9367,NGC3556,G,2.930042022176082,0.9716965470100475,UMa,3.98,1.66,79.0,10.7,10.05,8.02,7.37,7.04,21.7,Sc,,,,697.0,0.002328,,,,108,,,,"2MASX J11113096+5540268,IRAS 11085+5556,MCG +09-18-098,PGC 034030,SDSS J111131.06+554027.4,UGC 06225",,,,False,8,167.87904166666667,55.67411111111111
9400,9401,NGC3587,PN,2.9443493587193057,0.9602631859684413,UMa,3.58,,,11.6,9.9,16.71,,,,,1.1371,-0.044,1.051,0.0,0.0,14.36,15.66,16.01,097,,,,"IRAS 11119+5517,PN G148.4+57.0,SDSS J111447.71+550108.5",Owl Nebula,,,False,6,168.69879166666666,55.01902777777778
9437,9438,NGC3623,G,2.9623996992875354,0.22850480824895206,Leo,7.64,1.97,173.0,10.14,9.32,6.99,6.31,6.07,22.73,Sa,,,,761.0,0.00254,,,,065,,,,"2MASX J11185595+1305319,IRAS 11163+1322,MCG +02-29-018,PGC 034612,UGC 06328",,,,False,8,169.733,13.092361111111112
9441,9442,NGC3627,G,2.9681476502907698,0.22674493458652442,Leo,10.28,4.61,168.0,9.73,8.92,6.84,6.15,5.88,22.96,Sb,,,,702.0,0.00234,,,,066,,,,"2MASX J11201502+1259286,IRAS 11176+1315,MCG +02-29-019,PGC 034695,SDSS J112014.98+125929.4,UGC 06346",,The position in 1989H&RHI.C...0000H is incorrect.,,False,8,170.06233333333333,12.991527777777778
9831,9832,NGC3992,G,3.1311192236367837,0.9315612464193945,UMa,8.07,5.64,78.0,10.48,9.88,7.85,7.19,6.94,23.45,Sbc,,,,1046.0,0.003496,,,,109,,,,"2MASX J11573598+5322282,IRAS 11549+5339,MCG +09-20-044,PGC 037617,SDSS J115735.96+532228.9,UGC 06937",,,,False,8,179.39991666666666,53.37452777777778
10043,10044,NGC4192,G,3.2018276021787258,0.26005987631132843,Com,11.04,2.66,152.0,10.82,10.84,7.82,7.1,6.89,23.89,SABb,,,,-120.0,-0.0004,,,,098,,,,"2MASX J12134829+1454016,IRAS 12112+1510,MCG +03-31-079,PGC 039028,SDSS J121348.28+145401.6,UGC 07231",,,,False,8,183.45120833333334,14.900333333333334
10109,10110,NGC4254,G,3.2237394837169933,0.25161539161376256,Com,5.04,4.74,23.0,10.4,9.84,7.89,7.25,6.93,22.6,Sc,,,,2399.0,0.008036,,,,099,,,,"2MASX J12184962+1424593,IRAS 12162+1441,MCG +03-31-099,PGC 039578,SDSS J121849.60+142459.4,UGC 07345","Coma Pinwheel,Virgo Cluster Pinwheel",,,False,8,184.7066666666667,14.416500000000003
10113,10114,NGC4258,G,3.224313987929108,0.8256100645497165,CVn,16.98,7.24,150.0,9.12,9.29,6.38,5.72,5.46,23.36,Sbc,,,,462.0,0.001541,,,,106,,,,"2MASX J12185761+4718133,MCG +08-22-104,PGC 039600,SDSS J121857.50+471814.2,UGC 07353",,,,False,8,184.73958333333337,47.30397222222222
10159,10160,NGC4303,G,3.237214879983432,0.07807972815637187,Vir,6.89,6.56,20.0,10.16,10.25,7.73,7.09,6.84,23.05,Sbc,0.7805,0.509,0.654,1564.0,0.00523,,,,061,,,,"2MASX J12215494+0428249,IRAS 12194+0444,MCG +01-32-022,PGC 040001,SDSS J122154.92+042825.6,UGC 07420",,,,False,8,185.47875,4.473638888888889
10179,10180,NGC4321,G,3.2415731125697667,0.276142600554775,Com,6.1,5.62,108.0,10.01,9.47,7.46,6.82,6.59,22.61,SABb,,,,1570.0,0.005251,,,,100,,,,"2MASX J12225489+1549205,IRAS 12204+1605,MCG +03-32-015,PGC 040153,SDSS J122254.91+154920.2,UGC 07450",,,,False,8,185.72845833333335,15.821805555555553
10235,10236,NGC4374,G,3.250947712314541,0.22492009589082812,Vir,7.41,6.44,133.0,10.01,9.79,7.12,6.47,6.22,23.23,E,,-0.083,-0.051,979.0,0.00327,,,,084,,,,"2MASX J12250377+1253130,IRAS 12224+1309,MCG +02-32-034,PGC 040455,SDSS J122503.74+125312.8,UGC 07494",,,,False,8,186.26558333333332,12.886972222222221
10243,10244,NGC4382,G,3.2524290605171715,0.31750157087654846,Com,6.95,5.35,12.0,9.94,9.05,7.06,6.42,6.15,22.87,S0-a,,,,769.0,0.00257,,,,085,,,,"2MASX J12252405+1811278,MCG +03-32-029,PGC 040515,SDSS J122524.06+181127.7,UGC 07508",,,,False,8,186.35045833333334,18.1915
10267,10268,NGC4406,G,3.2558928118618584,0.22595420347263476,Vir,11.53,8.43,128.0,9.74,8.86,7.01,6.33,6.1,23.9,E,,,,-183.0,-0.00061,,,,086,,,,"2MASX J12261181+1256454,MCG +02-32-046,PGC 040653,SDSS J122611.75+125646.3,UGC 07532",,HOLM 403H is a star.,,False,8,186.54891666666666,12.946222222222222
10339,10340,NGC4472,G,3.271529507518684,0.13963458199212525,Vir,10.21,8.38,156.0,9.35,8.28,6.27,5.64,5.4,23.25,E,,,,949.0,0.00317,,,,049,,,,"2MASX J12294679+0800014,MCG +01-32-083,PGC 041220,SDSS J122946.76+080001.7,UGC 07629",,HOLM 413B is a star.,,False,8,187.44483333333332,8.000472222222223
10353,10354,NGC4486,G,3.276086271307433,0.2162656868693418,Vir,7.11,6.67,153.0,9.65,9.0,6.72,6.07,5.81,22.79,E,,-8.029,10.734,1256.0,0.0042,,,,087,,,,"2MASX J12304942+1223279,IRAS 12282+1240,MCG +02-32-105,PGC 041361,SDSS J123049.41+122328.1,UGC 07654",Virgo Galaxy,,,False,8,187.70591666666667,12.39111111111111
10372,10373,NGC4501,G,3.28115790722552,0.25168326552911785,Com,8.65,4.38,138.0,10.24,10.33,7.21,6.56,6.27,23.17,Sb,,,,2270.0,0.007602,,,,088,,,,"2MASX J12315921+1425134,IRAS 12294+1441,MCG +03-32-059,PGC 041517,UGC 07675",,,,False,8,187.99650000000003,14.420388888888889
10421,10422,NGC4548,G,3.296232461419099,0.2530087461332713,Com,5.55,4.52,150.0,10.94,10.96,8.01,7.37,7.12,23.24,Sb,,,,492.0,0.001644,,,,091,,,,"2MASX J12352642+1429467,IRAS 12328+1446,MCG +03-32-075,PGC 041934,SDSS J123526.45+142946.8,UGC 07753",,,,False,8,188.86020833333333,14.496333333333332
