,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
12659,12660,NGC6626,GCl,4.819500563800103,-0.4340604760889031,Sgr,5.1,,,,6.9,,,,,,0.156,-0.33,-8.92,11.0,3.7e-05,,,,028,,,,MWSC 2908,,,,False,14,276.1370416666667,-24.869833333333332
12672,12673,NGC6637,GCl,4.849341330686077,-0.5645786216214447,Sgr,5.7,,,9.32,8.31,,,,,,0.0855,-5.12,-5.81,47.0,0.000156,,,,069,6634,,,MWSC 2936,,,,False,14,277.84679166666666,-32.347972222222225
12692,12693,NGC6656,GCl,4.871228486726608,-0.4171933233094212,Sgr,12.6,,,7.16,6.17,,,,,,0.2639,9.82,-5.54,-148.0,-0.000493,,,,022,,,,MWSC 2961,,,,False,14,279.10083333333336,-23.903416666666665
12720,12721,NGC6681,GCl,4.9009310817134635,-0.5635997827992844,Sgr,6.6,,,9.76,9.06,,,,,,0.1265,1.39,-4.72,217.0,0.000723,,,,070,,,,MWSC 2981,,,,False,14,280.80266666666665,-32.291888888888884
12734,12735,NGC6694,OCl,4.910095514727477,-0.16377490961561234,Sct,6.0,,,8.0,8.87,,,,,,0.524,0.144,-1.411,4.0,1.3e-05,,,,026,,,,MWSC 2987,,,,False,3,281.32775,-9.38361111111111
12745,12746,NGC6705,OCl,4.935354065106444,-0.10943262891372557,Sct,9.0,,,6.32,5.8,,,,,,0.427,-1.568,-4.144,36.0,0.000119,,,,011,,,,MWSC 3008,"Amas de l'Ecu de Sobieski,Wild Duck Cluster",,,False,3,282.77495833333336,-6.270027777777778
12755,12756,NGC6715,GCl,4.9526095536444945,-0.5319501760690917,Sgr,5.1,,,,7.7,,,,,,0.0267,-2.73,-1.38,143.0,0.000477,,,,054,,,,MWSC 3023,,Likely associated with the Sagittarius Dwarf Spheroidal.,,False,14,283.76362500000005,-30.478499999999997
12760,12761,NGC6720,PN,4.946191105320285,0.5764575264359904,Lyr,1.27,,,9.7,8.8,16.4,,,,,1.2707,1.494,2.486,-19.0,-6.4e-05,,15.03,15.29,057,,,HD 175353,"IRAS 18517+3257,PN G063.1+13.9",Ring Nebula,,,False,6,283.395875,33.02858333333333
12824,12825,NGC6779,GCl,5.046583898336043,0.5268189080682284,Lyr,5.8,,,8.9,8.4,,,,,,0.0755,-2.02,1.65,-137.0,-0.000457,,,,056,,,,MWSC 3077,,,,False,14,289.1479583333334,30.1845
12855,12856,NGC6809,GCl,5.148677660151972,-0.5403902974435276,Sgr,12.0,,,,6.49,,,,,,0.1736,-3.41,-9.27,174.0,0.000582,,,,055,,,,MWSC 3150,,,,False,14,294.9975,-30.962083333333332
12886,12887,NGC6838,GCl,5.208797707898482,0.3277447143310307,Sge,6.9,,,7.91,6.1,,,,,,0.2287,-3.41,-2.61,-22.0,-7.4e-05,,,,071,6839,,,MWSC 3200,,Identification as NGC 6839 is very uncertain.,,False,14,298.442125,18.778388888888887
12907,12908,NGC6853,PN,5.234270061110818,0.39655674415931275,Vul,6.7,,,7.6,7.4,11.79,10.61,,,,2.6575,10.496,3.682,-42.0,-0.00014,12.43,13.66,13.94,027,,,BD+22 3878,"2MASX J19593637+2243157,PN G060.8-03.6",Dumbbell Nebula,,,False,6,299.9015833333334,22.721027777777778
12923,12924,NGC6864,GCl,5.262519669495389,-0.38261495713164584,Sgr,3.6,,,,8.26,6.93,6.43,6.28,,,0.0201,-0.58,-2.78,-189.0,-0.000631,,,,075,,,,"2MASX J20060484-2155201,MWSC 3254",,,,False,14,301.5201666666667,-21.922222222222224
12977,12978,NGC6913,OCl,5.340545340926317,0.6720855705938031,Cyg,3.6,,,7.3,6.6,,,,,,0.553,-3.409,-5.771,-17.0,-5.6e-05,,,,029,,,,MWSC 3329,,,,False,3,305.9907083333333,38.50766666666667
13047,13048,NGC6981,GCl,5.469273554348202,-0.2188128979498913,Aqr,4.5,,,9.95,8.96,,,,,,0.015,-1.29,-3.32,-331.0,-0.001105,,,,072,,,,MWSC 3419,,,,False,14,313.36629166666665,-12.537055555555556
13061,13062,NGC6994,Other,5.493130750781921,-0.2205310776357435,Aqr,,,,,8.9,,,,,,,,,,,,,,073,,,,,,Four Galactic stars.,,False,1,314.73320833333327,-12.6355
13150,13151,NGC7078,GCl,5.628569027957203,0.21235130120806342,Peg,11.1,,,3.0,6.3,,,,,,0.0522,-0.63,-3.8,-107.0,-0.000356,,,,015,,,,"IRAS 21274+1156,MWSC 3518,PN G065.0-27.3",,,,False,14,322.49325000000005,12.166833333333333
13161,13162,NGC7089,GCl,5.643741029700686,-0.014369392694405536,Aqr,8.4,,,,6.25,,,,,,0.0612,3.51,-2.16,-4.0,-1.2e-05,,,,002,,,,MWSC 3526,,,,False,14,323.3625416666667,-0.8233055555555555
13164,13165,NGC7092,OCl,5.63656409037238,0.8454054919630999,Cyg,19.5,,,4.66,4.6,,,,,,3.3373,-7.357,-19.599,-5.0,-1.8e-05,,,,039,,,,MWSC 3521,,,,False,3,322.9513333333333,48.43816666666666
13173,13174,NGC7099,GCl,5.673921408570275,-0.404551321760809,Cap,9.0,,,,7.1,,,,,,0.0676,-0.73,-7.24,-185.0,-0.000618,,,,030,,,,MWSC 3543,,,,False,14,325.09175,-23.179083333333335
13772,13773,NGC7654,OCl,6.129625421824952,1.0750035550629542,Cas,9.9,,,,6.9,,,,,,0.596,-1.938,-1.131,-40.0,-0.000133,,,,052,,,,MWSC 3725,,,,False,3,351.20166666666665,61.593166666666676
14014,14015,M040,**,3.2387565874893607,1.013764799747284,UMa,,,,,8.0,,,,,,,,,,,,,,040,,,,WDS J12222+5805AB,,,,True,1,185.56708333333333,58.08444444444444
14015,14016,M102,Dup,3.679193333112216,0.9485680255390361,UMa,,,,,,,,,,,,,,,,,,,101,,,,,,,"Identification is controversial, here we take NED assumption.",True,8,210.80225,54.348944444444456
14016,14017,Mel022,OCl,0.9925542011987419,0.4207164643300443,Tau,150.0,150.0,90.0,,1.2,,,,,,7.364,19.997,-45.548,7.0,2.2e-05,,,,045,,,,MWSC 0305,Pleiades,,,True,3,56.869166666666665,24.105277777777783
